datetime,visitors,page_views
2023-01-01 00:00:00,660.938364584018,2619.706622511796
2023-01-01 01:00:00,674.8919539819468,2815.0058992671165
2023-01-01 02:00:00,632.6566345452471,2903.4940069098943
2023-01-01 03:00:00,672.8072109564428,1687.763423333192
2023-01-01 04:00:00,721.1340154221677,1918.4103881654373
2023-01-01 05:00:00,645.822600814952,2476.710324285593
2023-01-01 06:00:00,686.5148735861543,2272.9117009196084
2023-01-01 07:00:00,656.2810560787626,3227.4804620327022
2023-01-01 08:00:00,618.8382282513519,2078.533929151694
2023-01-01 09:00:00,530.6126380692426,1222.5489615413856
2023-01-01 10:00:00,587.6905187547603,1683.8508428568423
2023-01-01 11:00:00,633.7178220533614,2713.1002872243594
2023-01-01 12:00:00,627.8912203406182,1985.6862071280839
2023-01-01 13:00:00,559.9618642203628,2609.8365902430455
2023-01-01 14:00:00,562.5183358974393,2678.5322647177813
2023-01-01 15:00:00,551.7190953631513,2384.8343055168484
2023-01-01 16:00:00,540.5386535457258,1321.4627914378018
2023-01-01 17:00:00,440.6295888617553,1948.269298943604
2023-01-01 18:00:00,427.77272568166904,1163.829615756075
2023-01-01 19:00:00,615.6982547812283,2681.592895537537
2023-01-01 20:00:00,423.5147857678448,1361.2741386136315
2023-01-01 21:00:00,504.03216590005627,2410.1233037338648
2023-01-01 22:00:00,615.043242747985,1696.8307090661247
2023-01-01 23:00:00,577.9750856097845,2369.5549831504027
2023-01-02 00:00:00,926.9757424092528,3954.7591622997584
2023-01-02 01:00:00,1067.3188417425038,2391.3766957207977
2023-01-02 02:00:00,1159.0779993066158,3972.2853090900344
2023-01-02 03:00:00,1122.0143567527368,5211.148462392855
2023-01-02 04:00:00,1141.3805905557952,2584.169205277792
2023-01-02 05:00:00,1146.2808415948493,2883.200491843323
2023-01-02 06:00:00,1152.8107118803907,5342.027811154221
2023-01-02 07:00:00,1240.187940980651,6098.485425941685
2023-01-02 08:00:00,1188.7849319804584,3690.353989513864
2023-01-02 09:00:00,1153.715251291993,4899.0543635461445
2023-01-02 10:00:00,1004.3578228502499,2898.988223039075
2023-01-02 11:00:00,1128.9787849800073,3761.5621840495714
2023-01-02 12:00:00,1006.3064137573342,3316.836281303634
2023-01-02 13:00:00,948.4895579604657,3532.750302759798
2023-01-02 14:00:00,910.7878297354255,2922.438900719237
2023-01-02 15:00:00,766.9425469922866,2395.035520346309
2023-01-02 16:00:00,799.0587351083477,2707.8125157676313
2023-01-02 17:00:00,781.7803408577299,2321.2316597776394
2023-01-02 18:00:00,826.0740641879779,3953.49221837268
2023-01-02 19:00:00,837.1751876936686,3556.0772768627003
2023-01-02 20:00:00,858.7977444496859,1873.5172388987216
2023-01-02 21:00:00,829.9847417524876,2008.382780812777
2023-01-02 22:00:00,868.6835546875546,2134.8961320298854
2023-01-02 23:00:00,962.4375813389997,4341.777575558468
2023-01-03 00:00:00,965.8084461690673,2293.770609888329
2023-01-03 01:00:00,1124.9811366019433,5492.096887246073
