quarter,gdp_growth,inflation,unemployment
2010-03-31,3.079806399422509,5.333417640312433,4.916240245953718
2010-06-30,1.6463125004205068,1.7263397381624652,5.291748543133119
2010-09-30,2.66166766201175,4.089406488711395,5.112716208811801
2010-12-31,2.8048249638400256,3.538324623813719,4.546207609356916
2011-03-31,1.281311953290847,2.345615571822057,5.280431160763884
2011-06-30,1.8631116570133748,2.407040358957793,4.75481938343584
2011-09-30,0.6255069741319306,1.464543803115787,5.7282534204802085
2011-12-31,3.160747346202742,3.416352355314425,4.10579620948719
2012-03-31,3.284831295414399,4.93707787807703,4.2389580749124525
2012-06-30,2.8934826222215237,4.329662539942541,4.912126790273143
2012-09-30,1.0952077651906182,1.530120251501948,5.511675188966122
2012-12-31,2.8109242964316357,4.306895817829853,5.007551186209017
2013-03-31,0.6086529645753385,1.7330007501290725,5.867276939457261
2013-06-30,1.9227301550542124,3.396781264040427,4.831975509104785
2013-09-30,2.8677185638676996,3.8487663681089623,4.14892536360042
2013-12-31,0.514765004359247,0.9914793191982889,6.006739921665419
2014-03-31,0.9657316637020715,1.9972460936964596,5.336825620363471
2014-06-30,0.49604249267916933,2.414580411012154,5.855608962301353
2014-09-30,0.6739115953017067,1.610970788351782,6.0379520043767085
2014-12-31,3.1263372241978495,3.6028453026713585,4.147826505620051
2015-03-31,0.9676952590887165,1.4627903591943237,5.401346861375547
2015-06-30,2.9698316230515918,4.079522930348405,4.2102506666006025
2015-09-30,2.332006670324678,4.186549925689556,4.82719740667997
2015-12-31,3.4870866143480983,4.3023259354840535,3.88163258273009
2016-03-31,2.8436758932386645,4.321328997303217,4.347583762821866
2016-06-30,3.5768581016068577,4.42061453262112,4.197482328932805
2016-09-30,3.073470563205569,4.022106686495516,4.239918781805998
2016-12-31,0.7909888328797188,2.2662964344505436,6.0207679181120595
2017-03-31,1.1982943429489892,1.6530010792757257,5.294506486381133
2017-06-30,0.9818870746055406,2.7459445676824563,5.301752067980315
2017-09-30,0.980985889340328,2.3130373113612777,5.622426263577006
2017-12-31,2.665305900267775,4.534820843956455,4.829281118356182
2018-03-31,0.21274446005043157,0.8407211480660423,5.693745659168212
2018-06-30,1.6943386838881316,2.8106181593555197,5.217524217737387
2018-09-30,1.8287135780356274,3.3686504394500356,5.044470699856775
2018-12-31,0.9768840803051037,2.4046484693553825,5.956271818245002
2019-03-31,2.7566751106582776,3.7486590585506545,4.623690378786185
2019-06-30,3.467524573698957,3.899882028074241,3.9723228037350196
2019-09-30,2.1829038198233772,2.557683663289721,5.103676671013795
2019-12-31,0.9559092223790551,2.173875223217328,5.658416643944164
2020-03-31,1.7958236132844498,2.1660611910949705,5.239177882945038
2020-06-30,3.4065758521778946,4.7823007594090186,3.9874466119919094
2020-09-30,2.241825979320872,2.8576565148754267,5.059264683853904
2020-12-31,2.458655444862401,3.566435235926974,4.82539175399108
2021-03-31,3.2226479968153843,4.511775119600411,4.39437190011304
2021-06-30,3.9280182064914646,4.682644228887184,4.08326623751
2021-09-30,1.4037163098136642,3.175802693818662,4.864215920901056
2021-12-31,1.7319841783287688,2.49495592792642,5.34373069864475
2022-03-31,2.5291690729487852,3.7083898896270524,4.70190851349355
2022-06-30,1.4336420209176834,1.8768325632115026,4.863755681685733
2022-09-30,2.6617991688886495,3.5440714127182655,4.518703038822419
2022-12-31,1.8310886145519234,2.573639872709971,4.959664862041073
2023-03-31,2.096439486706814,3.310333675621144,5.445669522916984
2023-06-30,1.4345459413870507,2.3057433470141753,5.332320088518556
2023-09-30,1.5002396373043194,2.6394547535784048,5.239742944302827
