date,price,volume,symbol
2021-01-01,99.79447482599402,4362,TECH
2021-01-02,98.27263439382664,1176,TECH
2021-01-03,98.82419297610883,6033,TECH
2021-01-04,98.5465959101285,5582,TECH
2021-01-05,98.89906801228757,9340,TECH
2021-01-06,96.64215265960051,3209,TECH
2021-01-07,94.72544644537555,4802,TECH
2021-01-08,91.12236325936858,6999,TECH
2021-01-09,91.83352826042417,4832,TECH
2021-01-10,89.62539147573584,5231,TECH
2021-01-11,87.98062660387878,5640,TECH
2021-01-12,90.54562846102073,1156,TECH
2021-01-13,93.13852613257612,4834,TECH
2021-01-14,91.55451761922662,5343,TECH
2021-01-15,93.21547609938375,8349,TECH
2021-01-16,93.48005736877315,3012,TECH
2021-01-17,92.29159137684016,1467,TECH
2021-01-18,95.10106490515616,9889,TECH
2021-01-19,95.65314008480331,6336,TECH
2021-01-20,99.34222154290158,3214,TECH
2021-01-21,105.47693077350205,5727,TECH
2021-01-22,110.36427387406098,3189,TECH
2021-01-23,117.18387490641243,5171,TECH
2021-01-24,116.36996149838022,5167,TECH
2021-01-25,118.38913616633513,6576,TECH
2021-01-26,119.55689259276825,4161,TECH
2021-01-27,123.06740722366914,3033,TECH
2021-01-28,121.01659666174936,1062,TECH
2021-01-29,119.74325425047081,1440,TECH
2021-01-30,122.32062925763067,9433,TECH
2021-01-31,123.37930353769815,3490,TECH
2021-02-01,120.87551864237965,5818,TECH
2021-02-02,120.05360185577368,7587,TECH
2021-02-03,123.06711473492,7308,TECH
2021-02-04,122.51389484786792,7856,TECH
2021-02-05,124.16962062051977,5066,TECH
2021-02-06,121.26257158390963,5120,TECH
2021-02-07,122.82658213448201,7720,TECH
2021-02-08,123.49351586849437,5095,TECH
2021-02-09,123.76304038537687,9623,TECH
2021-02-10,121.68707622978312,7388,TECH
2021-02-11,119.14313734248627,7252,TECH
2021-02-12,119.82455814041457,5467,TECH
2021-02-13,115.74770540844031,7043,TECH
2021-02-14,123.81971470486413,3694,TECH
2021-02-15,125.5109119994781,9699,TECH
2021-02-16,124.18016962714728,3826,TECH
2021-02-17,121.61873344634522,3607,TECH
2021-02-18,121.39081897651516,8855,TECH
2021-02-19,120.43475779735276,8124,TECH
2021-02-20,117.13295103861299,7757,TECH
2021-02-21,118.02326609949749,6901,TECH
2021-02-22,117.63064595826498,3459,TECH
2021-02-23,117.03486996133722,9069,TECH
2021-02-24,120.55345296687767,5506,TECH
2021-02-25,121.92689578351501,7588,TECH
2021-02-26,124.88244496678482,3775,TECH
2021-02-27,123.75019346418128,3613,TECH
2021-02-28,120.15455670219866,4403,TECH
2021-03-01,120.39755028272296,3188,TECH
2021-03-02,119.43091878571188,8585,TECH
2021-03-03,117.77872618198025,8063,TECH
2021-03-04,119.84920845524721,7769,TECH
2021-03-05,121.56740312892704,5570,TECH
2021-03-06,118.52597025277107,8063,TECH
2021-03-07,120.11481928439376,7809,TECH
2021-03-08,117.45924008022752,3164,TECH
2021-03-09,118.67444176894277,6206,TECH
2021-03-10,121.57949631670029,1129,TECH
2021-03-11,123.21061587693754,2346,TECH
2021-03-12,124.02712118074489,6719,TECH
2021-03-13,124.50937905412474,8787,TECH
2021-03-14,126.06218417390151,6303,TECH
2021-03-15,127.23286153795028,7201,TECH
2021-03-16,127.5283896438552,5532,TECH
2021-03-17,127.43570109754828,8365,TECH
2021-03-18,129.47761173101097,2637,TECH
2021-03-19,130.08199708288618,3788,TECH
2021-03-20,128.3146380435567,2066,TECH
2021-03-21,129.30336814161717,6491,TECH
2021-03-22,132.60811803691743,5823,TECH
2021-03-23,132.9140858014287,9659,TECH
2021-03-24,133.06209073427954,1725,TECH
2021-03-25,132.998082098401,7861,TECH
2021-03-26,137.42350033204303,9322,TECH
2021-03-27,137.88519317437772,1628,TECH
2021-03-28,137.44684833250997,2410,TECH
2021-03-29,134.20531690200886,5845,TECH
2021-03-30,131.94082317830956,9524,TECH
2021-03-31,136.27051235387734,1420,TECH
2021-04-01,135.83874714952128,3323,TECH
2021-04-02,135.29808983996531,8366,TECH
2021-04-03,134.10078756598168,8679,TECH
2021-04-04,134.6455996798482,7385,TECH
2021-04-05,137.20529112522135,5759,TECH
2021-04-06,136.96323051933342,8810,TECH
2021-04-07,141.4222219038885,5101,TECH
2021-04-08,138.08852623090246,6199,TECH
2021-04-09,138.70798595075092,9288,TECH
2021-04-10,142.42541551476086,1703,TECH
2021-04-11,140.63024236215225,5042,TECH
2021-04-12,143.64608347218325,5454,TECH
2021-04-13,141.68734329065938,1992,TECH
2021-04-14,141.08248145518314,2600,TECH
2021-04-15,140.95198333025064,3263,TECH
2021-04-16,143.48772490023262,1776,TECH
2021-04-17,147.42034749439793,7147,TECH
2021-04-18,151.3482605034961,5342,TECH
2021-04-19,153.71853861690744,5174,TECH
2021-04-20,151.57157714174429,4294,TECH
2021-04-21,153.6579889680564,8615,TECH
2021-04-22,153.23477891245437,4449,TECH
2021-04-23,158.3464737613745,7268,TECH
2021-04-24,159.74631813538002,5835,TECH
